Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,GEELY,PETROL,12,7.65,6.58,1.06,16.16,174.24,150,24.24,16.16,7.65,6.58,1.07,16.23,174.34,150,24.34,16.23
2022,HYUNDAI,PETROL/ELECTRIC,12,6.38,1.5,4.88,324.59,145.42,34.25,111.17,324.59,5.63,1.43,4.2,294.8,128.17,32.46,95.71,294.8
2022,HYUNDAI ASSAN,PETROL,63,6.46,5.23,1.22,23.39,147.13,119.24,27.89,23.39,6.03,5.26,0.77,14.74,137.39,119.75,17.65,14.74
2021,DACIA,DIESEL,3787,5.79,4.89,0.9,18.35,152.23,128.62,23.61,18.35,5.71,4.88,0.83,16.94,150.1,128.36,21.74,16.94
2021,KIA SLOVAKIA,DIESEL,1622,4.44,5.54,-1.1,-19.88,116.69,145.65,-28.96,-19.88,4.29,5.46,-1.17,-21.46,112.76,143.57,-30.81,-21.46
2023,STELLANTIS AUTO,DIESEL,5381,5.55,4.83,0.72,14.96,146.03,127.03,19,14.96,5.47,4.83,0.64,13.31,143.85,126.96,16.89,13.31
2022,HYUNDAI,PETROL,211,4.91,4.75,0.16,3.42,111.83,108.13,3.7,3.42,4.8,4.69,0.1,2.23,109.33,106.95,2.39,2.23
2021,JAGUAR LAND ROVER LIMITED,DIESEL,18199,8.21,7.07,1.14,16.15,216,185.96,30.04,16.15,7.93,6.87,1.06,15.35,208.63,180.87,27.76,15.35
2022,SKODA,PETROL/ELECTRIC,6033,5.38,1.15,4.23,367.42,122.45,26.2,96.25,367.42,5.53,1.15,4.38,379.98,125.95,26.24,99.71,379.98
2022,FORD WERKE GMBH,PETROL/ELECTRIC,27927,4.91,1.17,3.74,321.17,111.87,26.56,85.31,321.17,5.15,1.2,3.96,330.21,117.42,27.29,90.13,330.21
2021,SEAT,PETROL,65027,7.23,6.17,1.06,17.17,164.73,140.58,24.14,17.17,7.17,6.21,0.97,15.56,163.43,141.42,22,15.56
2021,MAGYAR SUZUKI,PETROL/ELECTRIC,1,4.11,0.97,3.14,325.34,93.57,22,71.57,325.34,4.11,0.97,3.14,325.34,93.57,22,71.57,325.34
2023,FORD WERKE GMBH,PETROL,70524,6.84,5.66,1.18,20.93,155.84,128.86,26.97,20.93,6.72,5.61,1.11,19.83,153.03,127.71,25.32,19.83
2023,AUDI AG,PETROL/ELECTRIC,3609,6.93,1.61,5.32,330.35,157.91,36.69,121.22,330.35,7.24,1.6,5.64,352.78,164.82,36.4,128.42,352.78
2021,RENAULT,PETROL/ELECTRIC,26415,4.35,1.41,2.94,208.12,98.99,32.13,66.86,208.12,4.55,1.4,3.15,225.16,103.71,31.9,71.81,225.16
2023,MERCEDES-BENZ AG,PETROL/ELECTRIC,36661,5.44,0.99,4.45,449.82,123.85,22.53,101.33,449.82,5.56,0.94,4.62,493,126.72,21.37,105.35,493
2022,STELLANTIS EUROPE,PETROL/ELECTRIC,9921,6.56,1.97,4.59,233.26,149.33,44.81,104.52,233.26,6.77,1.97,4.8,244.11,154.29,44.84,109.45,244.11
2023,SKODA,PETROL,19474,7.26,6.13,1.14,18.53,165.4,139.55,25.86,18.53,7.1,6.2,0.9,14.5,161.66,141.19,20.47,14.5
2023,HYUNDAI,PETROL,1,7.76,5.84,1.92,32.92,176.78,133,43.78,32.92,7.76,5.84,1.92,32.92,176.78,133,43.78,32.92
2021,VOLVO,PETROL,31907,8.16,7.24,0.92,12.71,185.89,164.92,20.96,12.71,8.09,7.26,0.83,11.41,184.2,165.34,18.86,11.41
2021,VOLKSWAGEN,PETROL/ELECTRIC,14412,5.07,1.31,3.75,286,115.44,29.91,85.53,286,5.48,1.4,4.08,290.93,124.79,31.92,92.87,290.93
2023,STELLANTIS AUTO,PETROL/ELECTRIC,2761,5.48,1.23,4.26,346.54,124.91,27.97,96.94,346.54,5.61,1.23,4.38,356.92,127.71,27.95,99.76,356.92
2021,BMW GMBH,PETROL,4042,14.34,11.1,3.24,29.22,326.63,252.78,73.85,29.22,14.13,11.26,2.87,25.48,321.9,256.53,65.37,25.48
2022,KIA SLOVAKIA,DIESEL,1252,5.57,5.11,0.46,9.02,146.51,134.38,12.13,9.02,5.3,5.09,0.22,4.25,139.56,133.87,5.69,4.25
2021,NISSAN AUTOMOTIVE EUROPE,PETROL,19151,7.4,6.14,1.26,20.52,168.6,139.89,28.71,20.52,7.28,6.16,1.12,18.24,165.83,140.25,25.58,18.24
2021,VOLKSWAGEN,PETROL,225858,7.07,6.19,0.88,14.17,161.06,141.07,19.99,14.17,6.99,6.21,0.78,12.56,159.23,141.46,17.77,12.56
2023,MASERATI,PETROL,4,17.54,11.83,5.71,48.28,399.63,269.5,130.13,48.28,16.74,11.88,4.86,40.9,381.3,270.61,110.69,40.9
2023,FERRARI,PETROL,284,18.91,12.6,6.31,50.1,430.81,287.02,143.79,50.1,17.07,12.09,4.98,41.2,388.75,275.32,113.43,41.2
2023,AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,560,5.65,1.3,4.35,334.75,128.77,29.62,99.15,334.75,5.93,1.3,4.63,356.95,135.12,29.57,105.55,356.95
